Casos notificados (suspeitos/confirmados) de Febre Amarela por local de residência - Minas Gerais
Notificações por Região de Saúde (CIR)/Mun Res e Semana epidemiológica notific.
Período:2007
"Região de Saúde (CIR)/Mun Res";"Semana 01";"Semana 02";"Semana 03";"Semana 06";"Semana 09";"Semana 11";"Semana 12";"Semana 13";"Semana 15";"Semana 16";"Semana 20";"Semana 23";"Semana 29";"Semana 37";"Semana 41";"Semana 44";"Semana 46";"Semana 47";"Semana 48";"Total"
"31006 Poços de Caldas";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3
".....  POCOS DE CALDAS";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;-;1;-;1;1;1;-;-;-;-;1;-;1;1;-;1;-;-;8
".....  RIBEIRAO DAS NEVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
".....  BELO HORIZONTE";-;-;1;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;5
".....  TAQUARACU DE MINAS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CAETE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"31021 Itabira";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BARAO DE COCAIS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31025 Vespasiano/Lagoa Santa";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
".....  PEDRO LEOPOLDO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"31028 Bom Despacho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BOM DESPACHO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31031 Itaúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITAGUARA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31058 Unaí/Paracatu";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
".....  DOM BOSCO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"31072 Uberaba";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;4
".....  UBERABA";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;3
".....  CONCEICAO DAS ALAGOAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"31075 Uberlândia/Araguari";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
".....  UBERLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"31099 Teófilo Otoni/Malacacheta";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
".....  NOVO CRUZEIRO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;22
 
 Fonte: SINAN/CPDE/SVE/SUBVS/SESMG 
 Notas:

  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano
atual (p/ incluir casos notificados com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha Município de residência, na Coluna Ano de 1ºs sintomas,
em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Dados considerados em 21 de outubro de 2024, portanto sujeitos a alterações/revisões.
 
 Elaboração: CPDE/SVE/SESMG
 
