Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Alfenas,Machado",0,1,2,2,4,1,2,2,4,1,1,2,1,6,5,2,1,6,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,54,31001
Guaxupé,0,0,0,3,1,1,2,1,1,1,0,1,0,2,2,3,3,1,0,0,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,34,31002
Itajubá,0,0,1,1,0,0,0,0,0,1,1,0,0,0,3,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31003
Lavras,0,1,2,4,1,3,2,3,4,3,4,5,2,13,15,28,21,26,13,16,9,7,7,3,3,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,208,31004
Poços de Caldas,0,0,0,0,1,3,1,8,1,0,0,4,1,3,7,9,6,2,0,2,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0,63,31006
Pouso Alegre,0,4,3,4,4,2,1,2,4,3,2,6,2,11,11,13,10,5,5,2,2,4,1,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,1,2,5,1,1,0,127,31007
São Lourenço,0,1,0,1,1,1,1,1,0,1,2,1,0,8,5,8,2,1,0,2,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,45,31008
São Sebastião do Paraíso,0,1,2,1,4,0,0,0,1,2,5,5,0,10,10,14,9,4,7,2,1,2,7,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,101,31009
Três Corações,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,31010
Três Pontas,0,0,0,0,3,0,0,1,0,1,0,4,1,3,5,3,4,0,4,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,42,31011
