Casos notificados (suspeitos/confirmados) de Febre Amarela por local de residência - Minas Gerais
Notificações por Região de Saúde (CIR)/Mun Res e Semana epidemiológica notific.
Período:2009
"Região de Saúde (CIR)/Mun Res";"Semana 02";"Semana 07";"Semana 08";"Semana 09";"Semana 13";"Semana 14";"Semana 15";"Semana 17";"Semana 19";"Semana 23";"Semana 26";"Semana 32";"Semana 34";"Semana 35";"Semana 37";"Semana 44";"Semana 50";"Semana 52";"Total"
"31002 Guaxupé";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  JURUAIA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31003 Itajubá";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
".....  PARAISOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"31006 Poços de Caldas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  POCOS DE CALDAS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;1;-;1;1;1;-;-;-;-;-;1;1;-;1;-;-;-;7
".....  RIBEIRAO DAS NEVES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SABARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
".....  BELO HORIZONTE";-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;4
".....  SANTA LUZIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31017 Betim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
".....  BETIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"31018 Contagem";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  CONTAGEM";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"31021 Itabira";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITABIRA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31023 João Monlevade";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
".....  NOVA ERA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"31024 Sete Lagoas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
".....  SETE LAGOAS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"31025 Vespasiano/Lagoa Santa";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
".....  SAO JOSE DA LAPA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"31026 Diamantina/Itamarandiba";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
".....  DIAMANTINA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"31028 Bom Despacho";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  BOM DESPACHO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31037 Ipatinga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
".....  IPATINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"31045 Muriaé";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MURIAE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31048 Ubá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
".....  UBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"31055 Pirapora";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
".....  PIRAPORA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"31061 Viçosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
".....  VICOSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"31066 Nanuque";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  NANUQUE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31072 Uberaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
".....  UBERABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"Total";1;1;1;2;1;2;4;1;1;1;2;1;2;1;2;1;1;1;26
 
 Fonte: SINAN/CPDE/SVE/SUBVS/SESMG 
 Notas:

  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano
atual (p/ incluir casos notificados com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha Município de residência, na Coluna Ano de 1ºs sintomas,
em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Dados considerados em 21 de outubro de 2024, portanto sujeitos a alterações/revisões.
 
 Elaboração: CPDE/SVE/SESMG
 
