Município,Semana 02,Semana 07,Semana 08,Semana 09,Semana 13,Semana 14,Semana 15,Semana 17,Semana 19,Semana 23,Semana 26,Semana 32,Semana 34,Semana 35,Semana 37,Semana 44,Semana 50,Semana 52,Total,CIR
Guaxupé,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31002
Itajubá,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31003
Poços de Caldas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31006
"Belo Horizonte,Nova Lima,Santa Luzia",0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,7,31016
Betim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31017
Contagem,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,31018
Itabira,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31021
João Monlevade,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31023
Sete Lagoas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31024
"Vespasiano,Lagoa Santa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31025
"Diamantina,Itamarandiba",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31026
Bom Despacho,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31028
Ipatinga,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31037
Muriaé,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31045
Ubá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,31048
Pirapora,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,31055
Viçosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31061
Nanuque,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31066
Uberaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31072
