Município,Semana 03,Semana 04,Semana 06,Semana 13,Semana 17,Semana 21,Semana 25,Semana 27,Semana 34,Semana 36,Semana 37,Semana 52,Total,CIR
"Alfenas,Machado",0,0,0,0,0,0,1,0,0,0,0,0,1,31001
Poços de Caldas,0,0,0,0,0,0,0,0,0,0,0,1,1,31006
"Belo Horizonte,Nova Lima,Santa Luzia",1,0,1,1,2,0,0,1,0,1,0,0,7,31016
Betim,0,0,0,0,0,1,0,0,0,0,0,0,1,31017
Ouro Preto,1,0,0,0,0,0,0,0,0,0,0,0,1,31022
Itaúna,0,0,0,0,0,0,0,0,1,0,0,0,1,31031
Ubá,0,0,0,0,0,0,0,0,0,0,1,0,1,31048
"Frutal,Iturama",0,0,0,0,0,0,0,0,0,1,0,0,1,31071
Congonhas,0,1,0,0,0,0,0,0,0,0,0,0,1,31078
"Almenara,Jacinto",0,0,0,0,0,0,0,0,0,0,1,0,1,31094
