Município,Semana 01,Semana 16,Semana 17,Semana 18,Semana 20,Semana 26,Semana 30,Semana 33,Semana 34,Semana 35,Semana 36,Semana 38,Semana 45,Semana 46,Semana 49,Total,CIR
Itajubá,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31003
Lavras,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31004
"Belo Horizonte,Nova Lima,Santa Luzia",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,31016
Contagem,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,31018
Ouro Preto,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31022
Sete Lagoas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31024
"Vespasiano,Lagoa Santa",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,31025
"Turmalina,Minas Novas,Capelinha",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31027
Bom Despacho,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31028
Ipatinga,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31037
Manhuaçu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,31059
"Frutal,Iturama",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,31071
"Lagoa da Prata,Santo Antônio do Monte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31087
Juiz de Fora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31097
