Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",0,5,4,2,8,7,8,3,10,15,21,34,34,44,56,60,95,53,33,16,16,13,6,8,10,4,13,5,2,3,3,0,1,0,2,1,0,2,0,1,0,0,0,0,2,3,0,4,1,2,3,3,4,620,31001
Guaxupé,0,0,1,0,5,0,1,5,0,12,16,19,16,19,47,61,91,120,59,47,59,55,32,35,25,5,13,8,4,3,1,1,3,4,3,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,776,31002
Itajubá,0,0,0,1,2,2,2,4,2,2,1,4,1,8,10,6,7,6,3,0,3,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,75,31003
Lavras,0,1,0,1,0,2,1,4,5,7,16,18,16,27,55,63,86,29,36,22,29,26,8,13,1,3,7,2,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,491,31004
Poços de Caldas,0,0,0,0,2,2,2,3,2,3,6,1,3,2,12,6,11,10,1,5,1,3,0,2,3,0,1,1,2,3,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,94,31006
Pouso Alegre,0,1,5,3,10,5,3,1,7,8,10,6,6,11,15,26,19,25,19,18,7,11,6,7,5,4,1,5,4,3,2,1,2,1,1,5,2,4,0,1,1,0,2,2,0,1,0,3,1,0,2,0,0,282,31007
São Lourenço,0,3,2,1,4,4,9,3,14,6,8,19,11,10,22,19,16,22,6,7,2,4,1,3,1,1,0,0,1,0,0,0,0,3,1,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,1,213,31008
São Sebastião do Paraíso,0,2,3,3,3,3,3,2,2,5,1,9,14,17,19,31,18,34,20,16,22,19,12,15,9,5,5,6,1,1,0,0,0,0,2,1,1,0,1,3,0,2,1,1,1,1,4,4,2,5,3,3,4,339,31009
Três Corações,0,0,1,0,1,0,2,0,4,3,5,8,6,5,6,5,9,6,2,1,4,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,2,2,0,2,1,1,0,95,31010
Três Pontas,0,2,0,2,1,1,2,2,0,6,7,2,15,4,18,23,19,19,14,11,8,5,1,7,2,1,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,2,1,1,188,31011
Varginha,1,11,2,6,5,9,10,6,9,5,32,35,68,69,135,119,109,96,63,38,35,13,11,17,12,4,4,6,3,3,1,0,2,2,2,2,0,1,2,2,1,1,1,3,3,0,1,3,3,4,2,4,3,979,31012
Barbacena,0,1,0,3,1,1,0,0,2,5,1,3,8,0,9,14,11,7,13,1,6,5,4,1,2,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,107,31013
São João Del Rei,1,0,0,0,3,2,5,1,4,5,18,24,33,39,62,76,83,68,36,33,36,11,20,13,8,12,4,1,1,0,2,1,0,0,0,1,1,2,0,0,4,1,5,0,0,0,0,1,0,0,1,0,0,618,31015
"Belo Horizonte,Nova Lima,Santa Luzia",0,220,237,429,481,687,1115,1319,3342,5686,7723,11303,17714,14820,19339,18094,18220,12869,7216,3657,3639,3203,1759,1516,1037,679,340,234,155,135,169,90,94,69,79,75,154,204,102,92,78,80,104,142,126,110,93,127,145,197,189,198,134,160019,31016
Betim,0,32,30,51,74,103,166,209,429,793,1446,2057,3136,2764,3701,3572,3267,2299,1511,1208,1053,856,369,367,336,163,102,56,29,13,21,9,12,12,13,12,23,9,11,12,14,13,11,6,12,19,20,14,24,18,17,21,11,30526,31017
Contagem,1,24,38,66,74,100,166,186,470,955,1471,1950,2772,2573,3333,3269,2920,2214,1419,859,817,623,272,154,146,60,50,22,16,19,9,38,6,6,5,9,6,7,5,17,12,9,9,13,10,7,7,13,25,18,22,30,19,27341,31018
Curvelo,0,39,48,46,47,67,97,107,261,426,571,820,991,884,825,913,842,538,334,259,251,267,144,102,68,76,61,27,20,18,26,11,9,4,8,4,14,10,12,22,13,11,10,16,15,5,13,24,23,18,26,44,45,9532,31019
Guanhães,0,6,8,3,10,8,18,11,21,23,21,24,31,29,28,26,19,30,21,7,7,13,5,10,4,4,3,2,3,2,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,3,0,3,1,411,31020
Itabira,0,6,6,11,9,23,17,22,38,30,60,81,158,163,223,171,178,130,101,109,78,70,31,38,42,23,11,7,9,6,3,0,2,0,1,2,1,4,0,2,5,2,1,5,0,1,4,8,3,2,2,8,1,1908,31021
Ouro Preto,0,1,5,2,12,5,7,2,12,21,12,19,58,49,90,86,82,59,28,31,26,21,7,9,4,3,0,0,0,0,0,0,1,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,3,0,0,663,31022
João Monlevade,4,34,22,24,14,21,32,68,124,201,266,380,428,337,365,274,185,169,88,93,14,17,14,2,5,5,3,3,4,1,2,1,3,1,0,1,1,2,0,1,0,0,0,0,1,1,0,5,2,1,2,3,2,3226,31023
Sete Lagoas,0,41,68,129,165,293,446,331,848,2049,3258,3757,3584,2477,2667,2560,2274,1187,699,537,399,361,173,204,191,108,77,41,19,15,22,13,14,8,6,7,4,2,5,3,4,5,6,11,16,11,17,48,20,36,49,40,34,29339,31024
"Vespasiano,Lagoa Santa",0,17,27,26,50,100,120,133,295,649,772,999,1445,1092,1470,1678,1475,799,457,297,212,155,95,67,57,45,34,14,6,4,6,1,4,1,2,4,2,3,2,6,3,2,3,1,4,4,5,11,15,15,8,18,5,12715,31025
"Diamantina,Itamarandiba",0,0,0,0,2,5,2,2,8,4,9,28,32,41,39,48,35,30,10,18,15,12,13,4,5,5,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,377,31026
"Turmalina,Minas Novas,Capelinha",0,3,10,6,19,25,18,12,44,109,131,160,325,152,228,181,164,84,40,47,53,31,20,32,18,16,18,18,18,7,9,5,4,4,3,2,0,1,0,0,0,0,2,2,2,6,2,2,1,2,1,3,1,2041,31027
Bom Despacho,0,10,25,32,31,50,52,54,97,173,213,322,382,396,451,372,323,191,125,112,100,102,50,68,28,23,14,10,19,10,9,4,6,7,16,10,7,4,7,7,12,6,0,10,3,2,6,6,6,9,10,11,2,3995,31028
