 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2013
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"31001 Alfenas/Machado";-;5;4;2;8;7;8;3;10;15;21;34;34;44;56;60;95;53;33;16;16;13;6;8;10;4;13;5;2;3;3;-;1;-;2;1;-;2;-;1;-;-;-;-;2;3;-;4;1;2;3;3;4;620
".....  AREADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;7
".....  CONCEICAO DA APARECIDA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  DIVISA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
".....  BANDEIRA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  MACHADO";-;-;-;-;1;2;1;-;2;2;-;3;7;5;8;5;4;4;2;1;1;1;2;1;2;3;2;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;65
".....  CAMPESTRE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3
".....  SERRANIA";-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7
".....  FAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  CARVALHOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
".....  POCO FUNDO";-;-;-;-;2;1;1;-;-;-;-;-;-;4;1;1;3;-;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
".....  ALTEROSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  ALFENAS";-;5;4;1;5;4;6;2;7;11;12;20;16;17;38;44;59;35;22;9;13;11;3;3;4;-;10;5;-;2;2;-;-;-;2;-;-;2;-;1;-;-;-;-;-;1;-;3;1;1;2;2;2;387
".....  PARAGUACU";-;-;-;-;-;-;-;-;-;2;-;1;1;2;-;1;2;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;15
".....  CAMPOS GERAIS";-;-;-;-;-;-;-;-;-;-;8;8;5;15;7;5;15;6;4;-;-;-;-;3;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80
".....  CAMPO DO MEIO";-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"31002 Guaxupé";-;-;1;-;5;-;1;5;-;12;16;19;16;19;47;61;91;120;59;47;59;55;32;35;25;5;13;8;4;3;1;1;3;4;3;1;1;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;776
".....  MUZAMBINHO";-;-;-;-;2;-;-;-;-;1;-;-;1;-;1;1;2;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
".....  GUARANESIA";-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;2;3;6;4;4;3;3;1;-;1;1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;36
".....  GUAXUPE";-;-;-;-;2;-;-;4;-;6;15;16;14;16;42;57;81;114;53;40;55;51;29;34;24;4;13;7;3;2;-;1;1;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;688
".....  JURUAIA";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  SAO PEDRO DA UNIAO";-;-;-;-;1;-;-;1;-;2;1;1;-;1;-;-;-;-;1;1;1;-;2;-;-;-;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
".....  ARCEBURGO";-;-;-;-;-;-;-;-;-;2;-;1;-;1;4;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;14
".....  CABO VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
