Casos notificados (suspeitos/confirmados) de Febre Amarela por local de residência - Minas Gerais
Notificações por Região de Saúde (CIR)/Mun Res e Semana epidemiológica notific.
Período:2013
"Região de Saúde (CIR)/Mun Res";"Semana 02";"Semana 09";"Semana 16";"Semana 26";"Semana 32";"Semana 36";"Semana 47";"Semana 50";"Semana 51";"Total"
"31009 São Sebastião do Paraíso";-;1;-;-;-;-;-;-;-;1
".....  MONTE SANTO DE MINAS";-;1;-;-;-;-;-;-;-;1
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;-;1;2;-;-;-;-;-;3
".....  NOVA LIMA";-;-;-;2;-;-;-;-;-;2
".....  SANTA LUZIA";-;-;1;-;-;-;-;-;-;1
"31018 Contagem";-;-;-;1;-;-;-;-;-;1
".....  IBIRITE";-;-;-;1;-;-;-;-;-;1
"31019 Curvelo";-;-;-;-;-;-;1;-;-;1
".....  CURVELO";-;-;-;-;-;-;1;-;-;1
"31025 Vespasiano/Lagoa Santa";-;-;-;-;-;1;-;-;-;1
".....  SAO JOSE DA LAPA";-;-;-;-;-;1;-;-;-;1
"31034 Caratinga";-;-;-;-;-;1;-;-;-;1
".....  CARATINGA";-;-;-;-;-;1;-;-;-;1
"31037 Ipatinga";-;-;-;-;-;-;1;-;-;1
".....  IPABA";-;-;-;-;-;-;1;-;-;1
"31048 Ubá";-;-;-;-;-;-;-;1;-;1
".....  ERVALIA";-;-;-;-;-;-;-;1;-;1
"31057 Patos de Minas";-;1;-;-;-;-;-;-;-;1
".....  LAGOA FORMOSA";-;1;-;-;-;-;-;-;-;1
"31058 Unaí/Paracatu";-;-;-;-;1;-;-;-;-;1
".....  BURITIS";-;-;-;-;1;-;-;-;-;1
"31074 Patrocínio/Monte Carmelo";-;-;-;-;-;-;-;-;1;1
".....  PATROCINIO";-;-;-;-;-;-;-;-;1;1
"31086 Divinópolis";2;-;-;-;-;-;-;-;-;2
".....  DIVINOPOLIS";2;-;-;-;-;-;-;-;-;2
"Total";2;2;1;3;1;2;2;1;1;15
 
 Fonte: SINAN/CPDE/SVE/SUBVS/SESMG 
 Notas:

  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano
atual (p/ incluir casos notificados com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha Município de residência, na Coluna Ano de 1ºs sintomas,
em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Dados considerados em 21 de outubro de 2024, portanto sujeitos a alterações/revisões.
 
 Elaboração: CPDE/SVE/SESMG
 
