Município,Semana 02,Semana 09,Semana 16,Semana 26,Semana 32,Semana 36,Semana 47,Semana 50,Semana 51,Total,CIR
São Sebastião do Paraíso,0,1,0,0,0,0,0,0,0,1,31009
"Belo Horizonte,Nova Lima,Santa Luzia",0,0,1,2,0,0,0,0,0,3,31016
Contagem,0,0,0,1,0,0,0,0,0,1,31018
Curvelo,0,0,0,0,0,0,1,0,0,1,31019
"Vespasiano,Lagoa Santa",0,0,0,0,0,1,0,0,0,1,31025
Caratinga,0,0,0,0,0,1,0,0,0,1,31034
Ipatinga,0,0,0,0,0,0,1,0,0,1,31037
Ubá,0,0,0,0,0,0,0,1,0,1,31048
Patos de Minas,0,1,0,0,0,0,0,0,0,1,31057
"Unaí,Paracatu",0,0,0,0,1,0,0,0,0,1,31058
"Patrocínio,Monte Carmelo",0,0,0,0,0,0,0,0,1,1,31074
Divinópolis,2,0,0,0,0,0,0,0,0,2,31086
