Casos notificados (suspeitos/confirmados) de Febre Amarela por local de residência - Minas Gerais
Notificações por Região de Saúde (CIR)/Mun Res e Semana epidemiológica notific.
Período:2014
"Região de Saúde (CIR)/Mun Res";"Semana 01";"Semana 05";"Semana 09";"Semana 10";"Semana 15";"Semana 18";"Semana 19";"Semana 21";"Semana 25";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 34";"Semana 51";"Semana 53";"Total"
"31007 Pouso Alegre";-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;3
".....  JACUTINGA";-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;3
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;1;1;-;-;-;-;1;1;-;-;-;1;1;-;-;6
".....  BELO HORIZONTE";-;1;1;-;-;-;-;1;1;-;-;-;1;1;-;-;6
"31017 Betim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
".....  IGARAPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"31032 Pará de Minas/Nova Serrana";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PARA DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"31035 Coronel Fabriciano/Timóteo";1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3
".....  CORREGO NOVO";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CORONEL FABRICIANO";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
"31037 Ipatinga";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
".....  IPATINGA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
".....  IPABA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"31046 Santos Dumont";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
".....  SANTOS DUMONT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"31052 Janaúba/Monte Azul";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
".....  JAIBA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"31075 Uberlândia/Araguari";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  NOVA PONTE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31095 Serro";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
".....  SERRO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"Total";2;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;20
 
 Fonte: SINAN/CPDE/SVE/SUBVS/SESMG 
 Notas:

  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano
atual (p/ incluir casos notificados com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha Município de residência, na Coluna Ano de 1ºs sintomas,
em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
  Dados considerados em 21 de outubro de 2024, portanto sujeitos a alterações/revisões.
 
 Elaboração: CPDE/SVE/SESMG
 
