Município,Semana 01,Semana 05,Semana 09,Semana 10,Semana 15,Semana 18,Semana 19,Semana 21,Semana 25,Semana 28,Semana 29,Semana 30,Semana 31,Semana 34,Semana 51,Semana 53,Total,CIR
Pouso Alegre,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,31007
"Belo Horizonte,Nova Lima,Santa Luzia",0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,6,31016
Betim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31017
"Pará de Minas,Nova Serrana",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31032
"Coronel Fabriciano,Timóteo",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,31035
Ipatinga,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,31037
Santos Dumont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31046
"Janaúba,Monte Azul",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31052
"Uberlândia,Araguari",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31075
Serro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31095
