Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Alfenas,Machado",10,2,3,5,6,5,5,32,30,21,28,46,90,96,91,102,225,193,211,185,155,147,103,78,49,36,23,13,9,3,8,6,6,10,7,3,7,5,7,2,5,3,4,4,8,3,7,10,7,10,9,8,2141,31001
Guaxupé,2,0,7,1,0,5,14,33,33,35,52,61,84,92,85,100,116,84,100,162,134,92,51,36,14,16,14,11,6,1,3,3,3,1,0,6,1,3,5,1,3,3,1,0,0,0,1,0,2,6,2,1,1486,31002
Itajubá,2,7,5,4,4,6,7,8,10,3,6,1,5,10,11,11,18,14,22,10,8,8,9,3,4,5,2,2,1,3,0,1,2,0,0,0,4,6,1,5,1,0,0,1,0,4,3,3,0,0,1,2,243,31003
Lavras,3,2,3,2,11,9,21,36,30,46,71,103,133,152,134,162,222,172,156,160,108,66,35,24,14,16,11,5,4,2,1,1,1,0,0,0,1,3,1,3,4,3,3,1,5,4,1,5,1,1,0,4,1956,31004
Poços de Caldas,3,6,9,5,12,10,16,11,6,9,9,10,9,8,7,7,7,8,8,5,3,7,5,1,3,1,1,2,1,2,3,4,1,2,1,1,1,1,0,0,1,4,3,1,1,1,0,1,1,1,2,0,221,31006
Pouso Alegre,4,3,6,2,7,7,12,20,19,22,36,41,55,49,42,18,44,27,33,25,23,18,12,7,8,6,5,1,6,2,7,5,1,1,2,1,3,2,3,2,5,1,2,1,5,3,4,3,4,7,1,2,625,31007
São Lourenço,1,3,3,3,0,2,4,2,1,0,3,3,7,13,9,4,1,15,12,9,10,6,7,6,3,6,2,1,1,0,1,1,1,1,1,2,1,0,0,0,1,3,0,2,0,0,0,0,2,1,1,0,155,31008
São Sebastião do Paraíso,25,43,115,172,320,266,206,179,149,102,108,122,134,96,81,73,74,63,53,50,33,31,32,15,8,15,8,8,5,7,3,3,4,4,3,7,14,7,1,4,5,1,0,3,3,3,6,0,5,0,6,0,2675,31009
Três Corações,0,1,4,3,1,0,1,0,1,2,0,1,4,1,2,2,10,18,12,21,25,12,14,6,4,5,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,1,0,0,160,31010
Três Pontas,2,5,4,10,8,9,17,33,49,45,54,98,143,163,206,171,292,264,332,275,279,238,113,117,57,55,38,18,5,5,8,3,2,0,2,3,0,0,1,2,2,1,0,0,1,3,2,3,2,0,4,1,3145,31011
Varginha,20,11,23,22,18,24,27,24,23,16,26,28,38,68,57,59,96,114,113,137,97,80,53,48,39,35,34,14,14,11,11,6,8,5,5,8,11,14,3,9,14,13,22,11,17,13,19,16,18,25,25,20,1662,31012
Barbacena,1,3,2,4,3,0,4,6,6,1,4,5,3,9,12,16,24,28,29,14,11,13,19,18,1,1,1,3,1,3,2,0,3,1,0,1,2,2,0,2,2,2,0,1,0,0,0,1,0,2,1,1,268,31013
São João Del Rei,2,4,2,2,4,7,5,17,4,6,11,34,44,73,80,91,149,175,161,180,134,152,96,60,21,38,22,5,5,4,4,3,1,3,2,5,5,1,2,2,3,5,2,5,3,3,8,8,0,5,1,2,1661,31015
"Belo Horizonte,Nova Lima,Santa Luzia",239,308,417,430,470,588,863,1328,1573,1488,2564,4246,6250,8222,10490,11222,17045,17140,18759,17058,13893,11674,8266,5545,3580,2918,2060,1217,778,467,297,251,164,263,134,134,167,165,125,129,149,171,149,130,166,144,181,156,182,209,482,210,175256,31016
Betim,115,216,355,539,1062,1663,1996,2789,3273,3400,4340,5422,6376,5969,5730,4785,5097,4453,3516,2679,2151,1651,1083,698,464,412,193,73,48,30,62,24,40,57,49,71,60,64,55,45,41,57,33,24,37,55,32,38,44,48,71,44,71629,31017
Contagem,49,100,88,125,167,258,472,708,940,1204,1942,3066,3923,4494,4396,4238,5858,5928,5063,5309,4292,3377,2402,1655,919,635,418,274,133,82,68,53,57,130,112,144,128,135,125,130,83,116,64,62,49,49,25,30,40,30,26,25,64196,31018
Curvelo,21,57,102,135,161,159,208,166,208,151,260,317,498,665,745,760,1107,952,846,750,563,269,174,98,66,47,38,61,15,8,4,2,3,1,3,8,7,2,5,4,8,2,5,8,9,17,26,9,6,11,22,10,9779,31019
Guanhães,0,3,3,0,5,2,4,5,5,3,2,21,19,31,25,28,76,54,39,25,37,22,11,14,7,5,6,2,7,1,1,2,2,1,1,0,2,2,0,1,3,2,1,1,0,2,0,1,1,1,1,2,489,31020
Itabira,23,17,18,26,17,23,11,37,33,32,64,78,117,131,145,155,222,267,284,312,451,286,179,153,85,113,75,36,48,29,24,29,23,24,23,14,19,24,17,22,16,27,13,17,28,22,16,13,24,17,32,14,3925,31021
Ouro Preto,4,4,5,3,5,10,3,6,3,3,8,17,14,13,19,25,43,52,54,78,78,50,32,36,17,13,11,12,7,4,2,2,1,0,5,2,1,2,3,0,7,0,1,3,1,6,6,6,17,4,9,3,710,31022
João Monlevade,1,3,2,5,3,2,6,4,3,4,3,15,23,32,56,71,165,249,364,391,410,322,313,205,109,140,64,41,51,9,5,2,4,6,3,0,3,2,0,0,0,2,0,3,6,0,1,1,0,3,5,0,3112,31023
Sete Lagoas,30,21,30,43,73,103,154,169,204,171,321,483,599,893,1315,1322,1623,1680,1733,1499,1364,1138,688,349,248,251,156,93,55,43,26,26,16,20,20,17,21,25,19,20,19,15,15,10,20,10,14,19,24,32,20,32,17291,31024
"Vespasiano,Lagoa Santa",9,11,13,10,12,14,19,38,39,48,121,289,496,711,910,1114,1659,1634,1513,1047,962,592,493,357,214,154,58,53,36,43,12,7,5,4,4,13,7,8,1,6,4,6,5,7,11,7,12,12,13,11,16,8,12848,31025
"Diamantina,Itamarandiba",7,6,3,3,6,3,4,8,7,11,11,25,33,65,78,70,144,169,237,207,224,191,187,120,55,55,30,16,6,0,1,2,4,1,3,3,8,6,3,4,4,0,2,3,3,2,4,2,5,4,3,2,2050,31026
"Turmalina,Minas Novas,Capelinha",3,3,4,3,4,4,7,8,8,3,5,6,26,13,12,19,65,48,59,58,56,60,81,44,43,24,31,9,17,6,5,3,0,2,1,3,1,5,0,2,4,2,0,1,2,1,8,5,6,14,10,8,812,31027
Bom Despacho,25,24,34,47,71,44,35,53,58,44,64,99,149,119,125,157,283,203,146,177,135,68,52,42,11,19,27,25,11,3,4,0,1,4,1,3,3,1,1,3,2,3,0,2,6,3,3,5,2,7,7,2,2413,31028
Formiga,14,24,42,40,42,37,60,74,88,63,72,85,122,144,260,311,407,455,490,467,373,265,120,113,55,62,45,37,19,8,5,2,2,6,5,9,3,3,0,4,3,9,7,6,9,2,5,3,5,10,7,10,4509,31030
