Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Alfenas,Machado",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31001
Guaxupé,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31002
Itajubá,0,1,0,0,1,0,0,0,0,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31003
Poços de Caldas,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31006
Pouso Alegre,0,1,0,0,0,0,0,0,0,1,0,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,14,31007
São Lourenço,0,1,0,0,0,3,0,1,0,0,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,24,31008
São Sebastião do Paraíso,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31009
Três Corações,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31010
Três Pontas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31011
Varginha,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31012
Barbacena,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31013
São João Del Rei,0,0,2,3,1,1,5,1,1,2,0,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,31015
"Belo Horizonte,Nova Lima,Santa Luzia",3,8,9,7,4,10,2,6,1,10,6,16,5,10,7,7,15,9,13,18,18,26,17,9,13,9,10,8,6,4,3,0,1,5,8,2,4,0,6,3,2,3,4,6,4,6,1,5,3,1,7,0,5,365,31016
Betim,0,1,2,0,1,2,0,0,0,0,2,1,1,3,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,27,31017
Contagem,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,1,1,0,2,0,3,0,2,1,0,0,0,1,2,0,0,2,1,0,31,31018
Curvelo,0,0,0,1,0,0,1,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,3,0,3,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,29,31019
Guanhães,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31020
Itabira,0,2,1,0,1,0,1,3,1,0,0,1,0,0,0,0,0,2,0,2,4,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,1,0,1,0,0,0,0,0,0,31,31021
Ouro Preto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,31022
João Monlevade,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,31023
Sete Lagoas,0,0,0,1,2,1,3,0,2,3,0,0,2,0,0,1,1,1,2,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,31,31024
"Vespasiano,Lagoa Santa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,10,31025
"Diamantina,Itamarandiba",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31026
"Turmalina,Minas Novas,Capelinha",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31027
Bom Despacho,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31028
Formiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,31030
Itaúna,0,1,1,1,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,31031
"Pará de Minas,Nova Serrana",0,1,1,0,0,0,1,3,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,31032
Caratinga,1,0,1,0,0,0,0,3,0,3,4,0,1,2,2,3,3,10,18,5,5,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,75,31034
"Coronel Fabriciano,Timóteo",3,9,8,13,18,10,24,19,15,23,24,15,6,3,6,23,18,18,14,15,6,10,7,7,9,6,6,5,5,3,3,3,1,1,3,2,4,6,14,2,2,3,1,5,2,4,2,4,0,0,0,0,0,410,31035
Governador Valadares,6,2,5,2,2,6,5,5,7,1,3,7,9,38,28,37,40,59,72,55,52,46,22,25,29,34,27,24,15,18,15,10,8,11,7,2,4,9,4,7,6,1,5,5,4,5,2,9,11,1,1,9,3,820,31036
Ipatinga,1,7,15,6,23,11,24,25,6,17,13,22,12,8,5,9,8,10,19,10,19,12,8,17,7,6,5,7,7,7,9,6,5,3,4,4,2,6,5,4,0,2,1,5,2,3,3,12,7,14,13,5,4,465,31037
Mantena,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,10,31038
Resplendor,0,1,1,2,1,2,0,1,0,5,1,5,2,6,5,6,1,3,3,5,7,7,6,7,11,4,10,6,9,1,7,7,4,6,5,5,9,7,15,22,19,52,22,16,24,25,54,105,127,181,224,107,113,1274,31040
Além Paraíba,0,2,6,8,10,22,14,14,1,10,13,6,2,6,2,4,2,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131,31041
Carangola,0,0,0,3,0,1,1,4,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,31042
"Leopoldina,Cataguases",1,0,1,2,2,1,0,2,0,1,1,0,2,1,2,2,0,0,2,3,1,1,1,0,2,0,2,0,1,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,42,31044
Muriaé,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31045
"São João Nepomuceno,Bicas",0,0,1,0,1,1,1,0,0,0,3,3,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31047
Ubá,1,4,16,10,10,5,2,11,9,6,6,7,3,3,2,3,1,2,3,2,2,4,3,5,3,2,4,3,3,1,1,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,145,31048
Francisco Sá,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,31051
"Janaúba,Monte Azul",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,14,31052
Pirapora,0,1,1,0,6,2,1,5,2,4,0,0,0,2,0,3,0,0,0,0,0,1,1,1,2,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,31055
Patos de Minas,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,31057
