Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
"Alfenas,Machado",15,23,15,9,12,12,8,7,4,4,6,10,2,0,5,4,5,0,2,1,1,0,4,0,1,4,0,1,0,0,2,0,4,3,1,3,3,8,2,3,1,2,4,2,4,6,3,10,5,2,5,3,0,231,31001
Guaxupé,3,3,4,7,2,3,4,2,3,1,4,6,4,1,0,4,6,0,0,4,2,3,1,2,0,1,2,2,3,1,0,1,2,3,0,2,2,1,2,1,1,4,1,0,1,0,2,2,2,3,1,2,0,111,31002
Itajubá,3,3,4,5,3,6,7,9,6,7,5,7,9,4,4,1,3,4,0,1,1,0,0,2,1,0,0,2,3,1,0,1,3,2,0,2,0,2,1,0,1,2,1,0,2,2,1,3,1,2,0,2,0,129,31003
Lavras,1,0,2,1,2,5,2,1,1,0,9,4,3,7,11,3,2,5,18,4,3,2,3,8,2,1,2,0,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,1,1,0,1,2,0,0,1,0,0,115,31004
Poços de Caldas,0,1,0,0,2,0,3,1,2,3,2,0,1,2,0,1,2,2,1,1,3,2,0,0,0,0,0,0,0,0,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,41,31006
Pouso Alegre,3,2,7,1,6,4,3,4,8,5,6,3,0,7,2,0,4,2,1,1,0,8,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,0,0,1,0,2,0,0,1,2,2,3,0,0,0,100,31007
São Lourenço,4,3,2,2,3,2,3,6,2,2,5,2,5,2,1,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,1,1,1,2,2,3,0,1,1,1,0,1,0,0,1,0,69,31008
São Sebastião do Paraíso,4,4,11,6,8,2,1,5,7,6,1,5,10,7,3,2,2,4,4,3,3,2,2,0,0,1,3,4,0,1,0,0,3,0,0,0,4,3,1,2,0,2,1,4,4,2,3,4,1,2,3,4,0,154,31009
Três Corações,0,0,0,0,1,0,0,1,4,3,3,1,4,13,24,4,8,2,1,5,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,80,31010
Três Pontas,1,3,2,6,5,1,4,2,7,2,3,7,1,3,5,0,2,4,0,1,2,1,1,2,2,0,1,1,0,0,0,0,1,0,1,0,2,0,2,1,1,1,0,2,1,1,1,1,0,0,1,3,1,89,31011
