Casos notificados (suspeitos/confirmados) de Febre Amarela por local de residência - Minas Gerais
Notificações por Região de Saúde (CIR)/Mun Res e Semana epidemiológica notific.
Período:2021
"Região de Saúde (CIR)/Mun Res";"Semana 01";"Semana 02";"Semana 04";"Semana 05";"Semana 06";"Semana 08";"Semana 09";"Semana 12";"Semana 14";"Semana 15";"Semana 16";"Semana 18";"Semana 19";"Semana 20";"Semana 23";"Semana 25";"Semana 27";"Semana 28";"Semana 31";"Semana 34";"Semana 35";"Semana 37";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 51";"Total"
"31012 Varginha";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
".....  VARGINHA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"31016 Belo Horizonte/Nova Lima/Santa Luzia";-;-;-;2;-;-;-;-;-;-;1;-;1;1;-;1;1;1;2;-;1;1;-;-;-;1;-;-;1;-;-;-;14
".....  RIBEIRAO DAS NEVES";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
".....  SABARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BELO HORIZONTE";-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;1;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;9
".....  RIO ACIMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SANTA LUZIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"31017 Betim";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;4
".....  MATEUS LEME";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  BETIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
".....  ESMERALDAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"31018 Contagem";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;4
".....  CONTAGEM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
".....  IBIRITE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
