 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2022
"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"31001 Alfenas/Machado";5;1;4;7;5;6;10;5;14;32;77;215;201;221;288;266;373;277;293;151;118;78;93;52;41;38;34;22;28;24;24;10;13;8;18;23;18;26;21;18;9;25;15;10;9;17;18;15;12;21;12;14;3335
".....  AREADO";-;-;-;-;-;1;-;-;-;-;-;3;-;1;1;2;9;5;11;5;4;3;2;3;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;55
".....  CONCEICAO DA APARECIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;1;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;1;-;18
".....  DIVISA NOVA";-;-;1;-;-;1;-;-;-;-;2;-;-;-;-;1;1;2;1;-;1;1;-;1;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;3;-;1;1;-;-;-;-;-;23
".....  BANDEIRA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
".....  MACHADO";-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;10;3;8;14;5;8;5;8;1;1;-;2;-;-;-;-;-;-;1;1;2;-;1;2;-;-;-;-;-;-;-;-;1;1;2;-;-;80
".....  CAMPESTRE";-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;2;-;-;4;1;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
".....  SERRANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
".....  FAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;8
".....  CARVALHOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
