Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
"Alfenas,Machado",0,153,231,375,479,653,790,890,1578,1711,2230,2740,3254,2427,2722,3012,2501,2533,2288,1978,1457,1179,840,694,422,211,194,144,72,51,42,36,21,9,18,22,15,20,25,17,15,14,3,0,38066,31001
Guaxupé,0,190,230,254,339,455,608,593,1004,1130,1504,1451,1378,999,1214,1137,785,547,376,374,351,328,214,153,42,31,38,16,12,8,6,3,5,1,5,1,5,8,3,9,4,6,1,0,15818,31002
Itajubá,0,44,81,91,139,211,292,319,544,597,565,714,980,913,1182,1457,1228,1096,916,922,748,702,444,350,161,221,138,119,64,138,21,27,22,76,28,10,12,12,14,18,14,12,6,0,15648,31003
Lavras,0,40,89,95,162,302,352,356,696,800,957,1152,1264,1390,1361,1579,1620,1435,1066,1254,1096,985,581,828,580,441,412,161,123,72,17,20,19,12,12,9,17,7,8,10,8,7,5,1,21401,31004
Poços de Caldas,0,5,33,52,35,88,191,210,317,386,492,642,696,705,710,744,711,666,614,616,540,473,253,177,108,53,37,18,10,2,11,7,4,5,4,6,2,3,3,1,1,3,1,0,9635,31006
Pouso Alegre,0,75,165,189,260,480,628,742,1107,1299,1758,2286,2728,2378,2979,3498,3114,3072,2617,2575,2331,1861,1468,803,531,373,226,159,131,90,80,55,39,20,14,21,33,45,23,23,21,21,11,0,40329,31007
São Lourenço,0,32,51,54,121,275,414,524,872,1045,1191,1303,2167,2185,3189,2905,3484,3062,2593,2513,1895,1586,904,524,356,336,285,137,85,43,22,16,19,8,5,7,12,5,12,13,31,15,5,0,34301,31008
São Sebastião do Paraíso,0,22,21,57,56,143,200,235,412,443,415,557,705,622,769,1082,1036,1059,1088,1272,1104,1037,639,450,350,335,232,116,95,69,93,28,41,14,14,9,26,19,12,14,17,10,6,3,14927,31009
Três Corações,0,6,7,10,35,63,121,131,238,305,510,717,944,1072,1080,1478,1099,1011,848,778,546,451,255,199,88,93,65,30,23,12,4,3,2,1,7,3,1,0,6,5,0,0,1,0,12248,31010
Três Pontas,0,9,24,28,63,134,219,292,472,440,767,916,1331,1104,1361,1568,1976,1896,1672,2269,1768,1506,876,1004,1009,678,452,60,166,137,32,17,16,35,36,46,24,37,50,31,12,25,4,0,24562,31011
Varginha,0,174,298,475,799,1019,1395,2139,3322,3434,4316,5326,6287,5602,4783,5216,4154,3250,2649,2593,2104,1829,1034,804,556,454,351,224,182,127,90,81,44,41,95,86,92,46,114,139,66,52,13,0,65855,31012
Barbacena,0,16,29,53,180,363,575,864,1123,1526,1511,1739,1657,1471,1747,2061,1804,1688,1309,1410,1198,1069,647,561,327,311,218,153,120,73,28,24,17,12,2,6,6,9,5,5,6,1,3,0,25927,31013
São João Del Rei,0,492,930,1333,1779,2079,2684,2478,3677,3678,3822,4183,4407,3231,2637,2703,1985,1501,1181,1068,831,626,315,187,95,146,81,45,47,28,14,20,13,14,30,16,14,21,13,7,10,9,11,0,48441,31015
"Belo Horizonte,Nova Lima,Santa Luzia",0,2146,3895,6202,11276,18072,23811,23823,34069,35314,34334,32774,31647,23955,23562,19879,15365,12154,9204,7328,5535,4161,2805,2100,1556,1528,1050,1026,631,412,374,271,365,251,373,281,298,263,284,301,349,206,105,2,393337,31016
Betim,0,1229,1843,2820,4213,6318,7541,5785,8812,8386,7780,7833,6581,4807,4209,4615,5451,2889,2098,1826,1379,1100,1617,591,417,278,184,133,84,70,57,52,57,45,53,39,29,34,29,58,63,41,12,0,101458,31017
Contagem,0,734,1319,1875,3322,5758,7935,6682,10460,10251,10907,10095,8732,6878,7182,6519,5451,3928,2701,2094,1580,1198,1042,663,555,392,243,178,138,83,86,73,95,64,68,63,59,71,59,83,66,48,41,0,119771,31018
Curvelo,0,788,1184,1483,1563,1477,1631,1422,1559,1323,1381,1271,981,667,739,642,497,427,345,278,237,180,133,84,58,41,66,52,33,20,22,13,16,16,14,18,5,8,15,1,3,3,3,0,20699,31019
Guanhães,0,37,55,68,132,203,260,314,444,602,646,648,835,673,652,712,462,363,288,291,168,192,104,79,40,19,13,12,12,15,7,7,8,3,1,4,5,2,2,8,1,2,6,0,8395,31020
Itabira,0,1226,2089,3035,3689,4733,5343,5280,4726,5165,4173,3528,3464,2318,2096,2061,2006,1279,1224,825,596,384,253,162,103,70,64,61,44,22,20,26,42,44,14,22,23,25,57,59,38,58,41,0,60488,31021
Ouro Preto,0,62,75,143,323,426,520,787,1105,1685,1589,1636,1746,1826,1747,1657,1427,1328,920,804,646,387,157,233,97,83,65,39,40,10,22,26,18,8,10,7,11,7,6,5,4,6,1,0,21694,31022
