Município,Semana 1,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 2,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 3,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 4,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 5,Semana 50,Semana 51,Semana 52,Semana 53,Semana 6,Semana 7,Semana 8,Semana 9
"Alfenas,Machado",52.4,10.2,7.2,15.0,74.0,0.2,19.6,5.6000000000000005,0.0,0.0,0.0,132.8,0.0,0.0,17.599999999999998,0.0,0.0,0.0,0.0,12.8,0.0,0.0,19.6,0.0,0.0,2.0,0.2,0.0,6.8,0.0,0.0,1.6,2.2,48.2,0.0,43.2,0.0,0.0,0.0,30.2,0.4,3.4000000000000004,0.0,0.0,30.2,21.4,47.400000000000006,99.4,31.8,9.2,63.0,38.8,57.8
"Almenara,Jacinto",42.2,1.7999999999999998,83.60000000000001,0.0,1.2000000000000002,21.8,33.599999999999994,21.0,4.4,0.2,9.4,38.6,2.8,0.0,18.4,24.200000000000003,7.2,11.6,4.0,1.6,0.4,0.0,0.0,1.4,26.4,17.8,1.4,4.8,0.2,0.0,1.6,1.2,0.0,143.0,3.8,2.6,8.8,6.0,11.8,6.6,82.0,42.0,29.2,0.0,38.4,10.8,0.0,0.6000000000000001,28.8,20.4,12.6,122.0,21.6
Araxá,65.2,95.4,76.4,39.0,142.8,8.600000000000001,59.6,0.8,0.0,0.0,0.0,17.2,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.8,0.0,34.4,40.8,34.2,43.0,123.8,84.8,70.8,42.2,71.80000000000001,25.2,77.0,105.0,150.2,53.8,53.0,10.4,44.8,4.6000000000000005
Araçuaí,29.4,0.0,1.2,0.2,2.4000000000000004,24.4,5.0,1.0,0.0,0.6000000000000001,1.6,0.6000000000000001,0.0,0.0,0.0,4.8,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.2,9.8,56.6,3.4000000000000004,32.4,31.4,3.2,7.2,9.4,7.800000000000001,24.0,26.6,0.8,2.2,7.4,0.4,1.2
Barbacena,80.60000000000001,31.6,31.200000000000003,123.4,76.2,2.6,5.8,2.6,0.2,0.0,0.4,77.8,0.0,0.2,11.2,0.6000000000000001,0.6000000000000001,0.0,0.0,10.8,0.0,0.2,27.6,0.0,0.6000000000000001,1.0,0.0,0.0,7.2,0.0,0.0,69.2,23.8,99.8,0.0,58.4,30.2,92.4,4.199999999999999,123.6,119.2,15.2,11.8,73.8,80.39999999999999,35.0,72.8,149.8,49.60000000000001,61.6,39.4,113.0,34.800000000000004
"Belo Horizonte,Nova Lima,Santa Luzia",193.2,94.0,40.0,133.2,74.79999999999998,112.8,0.8,118.2,0.2,0.0,0.0,66.2,0.0,0.2,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.2,143.8,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,2.0,148.4,0.0,159.2,58.2,111.0,227.8,187.2,143.60000000000002,118.2,7.6000000000000005,118.2,125.6,16.4,172.4,427.4,35.2,117.80000000000001,68.2,210.2,12.2
Caratinga,89.39999999999999,21.6,5.0,50.4,5.6,21.2,0.0,18.200000000000003,0.4,1.0,0.6000000000000001,28.8,0.6000000000000001,0.4,34.400000000000006,0.2,0.4,0.2,0.4,0.2,0.4,0.0,0.4,0.0,4.199999999999999,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.4,0.0,80.0,0.4,12.2,53.8,40.0,16.6,28.2,2.6,103.0,113.4,26.2,107.8,133.0,48.6,19.4,49.6,90.2,15.4
"Coronel Fabriciano,Timóteo",84.6,41.0,11.2,149.2,22.6,2.8,1.8,1.4,0.2,0.2,0.2,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,34.2,93.8,134.0,53.2,108.0,67.0,48.6,70.6,98.4,32.4,2.2,13.4,197.0,29.6
Curvelo,117.2,5.4,0.6000000000000001,52.400000000000006,1.4,1.6,0.0,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,59.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,1.6,19.2,27.0,18.0,47.0,29.4,9.0,24.2,68.6,90.6,51.8,112.4,70.39999999999999,25.2,41.400000000000006,3.2,0.0
"Diamantina,Itamarandiba",138.0,6.4,47.6,56.0,10.8,20.6,3.0,3.0,4.4,0.2,1.2000000000000002,43.6,0.0,0.0,0.2,0.0,0.4,0.2,1.4,0.0,0.2,0.0,58.8,1.2000000000000002,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,53.6,1.7999999999999998,83.80000000000001,134.6,25.200000000000003,62.6,52.8,1.6,17.0,21.4,51.0,85.6,143.6,47.4,92.0,39.8,163.0,20.2
