Município,Semana 1,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 2,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 3,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 4,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 5,Semana 50,Semana 51,Semana 52,Semana 53,Semana 6,Semana 7,Semana 8,Semana 9
Januária,84.4,11.6,0.0,12.8,4.4,64.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2,0.0,19.2,17.200000000000003,28.4,24.6,32.8,93.39999999999999,79.0,5.3999999999999995,19.6,23.0,0.2,30.0,34.800000000000004,34.0,23.0,32.8,124.0,0.0
Araçuaí,29.4,0.0,1.2,0.2,2.4000000000000004,24.4,5.0,1.0,0.0,0.6000000000000001,1.6,0.6000000000000001,0.0,0.0,0.0,4.8,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.2,9.8,56.6,3.4000000000000004,32.4,31.4,3.1999999999999997,7.2,9.4,7.800000000000001,24.0,26.6,0.8,2.2,7.4,0.4,1.2
Uberaba,74.8,14.4,153.39999999999998,87.60000000000001,149.2,30.2,16.6,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,48.800000000000004,0.0,51.2,25.799999999999997,81.0,93.2,104.2,64.39999999999999,61.6,36.400000000000006,35.8,10.0,55.6,34.2,102.39999999999999,17.4,74.0,18.8,15.2,1.8
"Teófilo Otoni,Malacacheta",64.0,0.0,26.6,0.8,9.8,20.0,6.4,7.4,0.2,0.0,26.2,39.0,0.0,0.0,2.0,2.4,3.2,5.3999999999999995,0.0,0.2,3.8,0.0,0.0,0.0,5.8,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,14.399999999999999,94.2,91.6,32.8,16.0,133.8,13.0,16.2,27.4,21.8,118.80000000000001,37.8,83.6,7.2
"Almenara,Jacinto",42.199999999999996,1.7999999999999998,83.60000000000001,0.0,1.2000000000000002,21.8,33.599999999999994,21.0,4.4,0.2,9.399999999999999,38.599999999999994,2.8,0.0,18.4,24.200000000000003,7.2,11.600000000000001,4.0,1.6,0.4,0.0,0.0,1.4000000000000001,26.4,17.8,1.4,4.8,0.2,0.0,1.5999999999999999,1.2,0.0,143.0,3.8000000000000003,2.6,8.8,6.0,11.8,6.6,82.0,42.0,29.2,0.0,38.4,10.8,0.0,0.6000000000000001,28.8,20.4,12.6,122.0,21.6
Patos de Minas,135.79999999999998,3.4000000000000004,0.4,22.599999999999998,56.0,10.200000000000001,0.0,0.4,0.0,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.799999999999997,0.0,19.0,0.0,5.6000000000000005,34.8,99.2,63.599999999999994,105.8,5.6,92.4,62.6,54.6,77.6,96.6,56.6,78.4,99.8,41.800000000000004,42.400000000000006,72.4,21.8
"Turmalina,Minas Novas,Capelinha",144.8,47.599999999999994,44.6,20.0,25.399999999999995,48.4,2.8000000000000003,4.4,0.4,0.0,1.8,29.999999999999996,0.2,1.0,1.2000000000000002,1.6,0.0,0.0,0.0,0.8,1.4000000000000001,0.6000000000000001,0.2,1.2000000000000002,1.6,2.4000000000000004,0.4,0.4,0.2,0.2,0.2,0.0,0.0,154.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,47.400000000000006,6.0,81.6,7.6
Montes Claros,86.2,0.6000000000000001,2.4000000000000004,14.0,0.6000000000000001,89.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.6,0.0,15.200000000000001,5.0,48.4,20.8,13.2,66.0,44.8,65.8,25.400000000000002,65.4,3.0000000000000004,65.6,33.599999999999994,2.0,51.99999999999999,22.2,229.79999999999998,1.0
Passos,6.2,36.0,10.8,33.0,85.0,14.8,18.4,0.0,0.4,0.2,0.2,37.0,0.0,0.0,57.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.8,43.2,0.0,21.6,17.6,76.8,7.6000000000000005,62.599999999999994,166.8,6.800000000000001,22.2,107.4,54.800000000000004,28.6,33.0,102.2,29.200000000000003,9.200000000000001,61.2,57.4,6.200000000000001
Barbacena,80.60000000000001,31.599999999999998,31.200000000000003,123.4,76.2,2.6,5.8,2.6,0.2,0.0,0.4,77.8,0.0,0.2,11.200000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,10.799999999999999,0.0,0.2,27.6,0.0,0.6000000000000001,1.0,0.0,0.0,7.2,0.0,0.0,69.2,23.799999999999997,99.8,0.0,58.4,30.2,92.4,4.199999999999999,123.6,119.2,15.2,11.8,73.8,80.39999999999999,35.0,72.8,149.8,49.60000000000001,61.6,39.4,112.99999999999999,34.800000000000004
Curvelo,117.2,5.4,0.6000000000000001,52.400000000000006,1.4,1.5999999999999999,0.0,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,59.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,1.5999999999999999,19.2,27.0,18.0,47.0,29.400000000000002,9.0,24.2,68.6,90.6,51.8,112.4,70.39999999999999,25.2,41.400000000000006,3.2,0.0
Salinas,34.0,83.0,55.800000000000004,1.0,5.0,9.0,0.0,3.6,0.0,0.0,5.4,69.8,0.8,0.0,0.0,2.2,0.0,0.0,1.8,0.0,0.4,0.0,0.0,4.4,0.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.4,0.0,0.4,3.0,22.400000000000002,46.0,19.8,60.8,36.2,69.0,113.79999999999998,139.0,1.2000000000000002,62.6,73.60000000000001,25.4,123.2,33.6,184.4,2.8000000000000003
"Unaí,Paracatu",113.2,0.2,35.0,31.199999999999996,35.6,20.6,43.6,0.2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,0.4,6.2,93.6,38.2,18.2,118.0,45.4,40.6,30.4,84.0,64.2,42.2,80.8,74.8,26.400000000000002,41.2,29.799999999999997,66.19999999999999,8.2
Caratinga,89.39999999999999,21.6,5.0,50.4,5.6,21.2,0.0,18.200000000000003,0.4,1.0,0.6000000000000001,28.8,0.6000000000000001,0.4,34.400000000000006,0.2,0.4,0.2,0.4,0.2,0.4,0.0,0.4,0.0,4.199999999999999,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.4,0.0,80.0,0.4,12.200000000000001,53.8,40.0,16.6,28.199999999999996,2.6,103.0,113.39999999999999,26.2,107.80000000000001,133.0,48.599999999999994,19.4,49.6,90.2,15.399999999999999
"Janaúba,Monte Azul",83.6,1.5999999999999999,0.0,4.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8,0.0,11.8,32.6,44.8,10.6,18.799999999999997,98.8,26.6,3.4000000000000004,25.6,34.8,0.0,9.4,29.400000000000002,7.8,12.400000000000002,10.6,263.40000000000003,50.2
Governador Valadares,107.2,15.2,58.0,0.0,1.6,20.2,0.0,16.400000000000002,0.0,0.0,3.6000000000000005,0.0,0.0,0.0,0.0,0.4,0.0,0.2,2.2,0.0,0.0,0.0,20.0,0.0,1.8,8.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.6,0.0,46.0,0.0,7.800000000000001,39.0,15.0,42.6,78.80000000000001,1.6,42.6,43.2,8.6,0.0,0.0,0.0,5.6,33.2,135.6,12.0
Varginha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.2,0.2,0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,13.4,0.0,0.0,37.400000000000006,2.4000000000000004,134.8,20.4,117.39999999999999,57.0,23.2,1.4,93.2,0.0,29.0,30.8,96.4,41.4,0.0,0.0,0.0,0.0
Formiga,0.0,30.599999999999998,0.4,35.199999999999996,126.2,26.6,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,20.8,0.0,35.8,9.8,80.2,69.19999999999999,122.2,39.0,1.4,16.2,33.2,1.7999999999999998,49.4,39.6,82.2,92.0,1.0,0.0,28.000000000000004,14.400000000000002
