Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
"Alfenas,Machado",0,0,0,0,1,0,2,0,3,4,3,2,2,2,0,0,3,2,1,1,2,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,35,31001
Guaxupé,0,0,2,2,0,1,1,0,2,2,1,1,0,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,31002
Itajubá,2,2,2,1,0,0,0,0,0,0,4,3,1,6,7,4,6,2,1,1,1,2,2,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,54,31003
Lavras,0,1,0,0,0,1,1,0,0,2,3,2,1,0,0,3,0,2,5,1,1,0,3,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,33,31004
Poços de Caldas,0,4,2,4,1,9,18,18,32,30,20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,31006
Pouso Alegre,1,3,1,0,5,9,0,5,9,15,3,7,3,7,9,9,9,6,4,4,3,2,3,0,3,5,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,132,31007
São Lourenço,0,2,0,0,2,6,4,2,5,1,0,4,2,2,8,3,2,0,3,2,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,31008
São Sebastião do Paraíso,0,2,0,0,1,0,3,1,3,0,1,3,4,6,4,4,4,5,5,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,31009
Três Corações,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31010
Três Pontas,0,0,0,0,2,0,0,0,1,0,0,3,1,1,2,2,3,3,1,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31011
Varginha,0,0,0,3,5,1,2,8,7,11,9,5,8,2,2,2,2,2,0,4,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,31012
Barbacena,0,0,0,1,1,2,1,2,3,2,1,8,1,4,1,3,1,3,1,6,3,0,2,2,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,54,31013
São João Del Rei,0,0,4,13,10,3,12,38,39,24,22,15,9,9,3,6,15,3,1,8,1,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,241,31015
"Belo Horizonte,Nova Lima,Santa Luzia",148,228,422,859,987,1316,1333,1722,1397,1157,1349,1342,1060,1084,978,1091,946,892,618,742,602,437,338,1079,199,150,160,119,80,63,189,101,42,46,61,40,35,35,30,31,13,19,0,23540,31016
Betim,10,36,71,128,84,129,102,205,207,198,202,275,171,224,230,262,256,212,258,187,186,101,45,35,40,28,42,23,23,17,19,13,10,7,3,4,2,6,3,6,3,2,0,4065,31017
Contagem,25,30,46,68,161,175,159,233,270,372,375,393,324,381,294,383,300,248,166,156,135,87,116,78,69,56,49,32,21,14,20,15,12,8,19,11,6,5,6,7,5,1,0,5331,31018
Curvelo,6,13,22,36,71,94,85,151,118,106,115,66,49,47,31,32,29,24,22,26,22,20,22,14,14,6,5,3,6,6,7,3,1,1,1,3,0,2,0,0,0,0,0,1279,31019
Guanhães,2,2,5,7,14,2,13,16,16,19,30,18,9,11,8,2,2,2,3,0,2,1,1,0,0,0,0,0,1,0,2,2,3,0,1,0,0,0,0,0,0,0,0,194,31020
Itabira,19,59,52,27,35,37,34,28,42,27,19,22,23,24,27,20,27,22,31,29,14,9,9,13,2,6,0,1,1,0,0,0,8,0,0,0,0,1,1,0,0,0,1,670,31021
Ouro Preto,2,3,1,3,0,3,6,9,7,12,9,10,11,15,13,12,11,4,8,8,2,5,0,3,0,3,0,3,0,2,0,0,0,1,0,0,2,1,0,0,2,0,0,171,31022
João Monlevade,2,18,27,87,161,263,222,321,254,271,318,280,201,115,83,45,46,35,28,24,15,16,6,4,1,0,2,0,0,0,0,2,3,2,1,0,0,1,0,2,1,0,0,2857,31023
Sete Lagoas,433,913,1103,2097,2979,2659,2548,3175,2647,2210,1950,1505,972,905,674,503,375,256,223,147,127,52,56,28,24,43,28,12,9,3,7,7,4,3,3,7,5,5,7,11,7,3,0,28725,31024
"Vespasiano,Lagoa Santa",13,25,47,100,152,142,197,223,249,221,274,225,135,118,162,90,134,92,103,48,52,34,25,17,29,9,30,84,15,2,7,2,2,6,4,0,3,4,2,0,2,0,0,3079,31025
"Diamantina,Itamarandiba",1,4,8,9,8,10,20,53,38,54,35,41,61,67,36,21,15,17,5,2,3,1,0,6,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,521,31026
"Turmalina,Minas Novas,Capelinha",23,4,12,11,31,18,45,39,24,44,29,30,43,54,39,14,16,6,2,2,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,496,31027
Bom Despacho,0,0,1,2,2,5,0,16,13,23,23,25,60,145,218,314,279,228,265,208,175,60,34,23,35,12,8,2,5,4,9,6,2,1,5,1,2,2,3,2,2,1,0,2221,31028
