Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
AREADO,0,80,115,220,277,345,317,298,368,313,290,170,138,71,39,28,29,11,12,4,20,8,5,3,4,2,1,1,0,0,1,1,1,2,0,0,0,0,0,3,2,4,0,0,3183,31001
CONCEICAO DA APARECIDA,0,7,4,2,6,21,25,37,87,79,106,118,133,83,90,115,107,51,76,15,33,21,51,22,16,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,31001
DIVISA NOVA,0,2,0,1,2,13,8,27,36,35,67,87,89,51,12,4,6,0,2,8,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,31001
BANDEIRA DO SUL,0,0,0,0,0,0,3,4,11,9,7,9,13,2,11,7,9,8,5,13,16,6,6,5,7,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,161,31001
MACHADO,0,4,7,16,28,37,87,99,148,184,239,434,545,463,587,628,546,473,418,335,239,148,128,108,56,46,39,25,21,15,10,12,7,3,6,4,5,4,6,4,4,0,0,0,6168,31001
CAMPESTRE,0,1,1,0,1,1,8,12,18,21,22,26,27,20,10,21,23,32,24,32,33,12,11,12,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,379,31001
SERRANIA,0,23,61,63,33,51,47,34,125,110,132,102,88,91,29,21,17,12,9,1,1,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1056,31001
FAMA,0,0,0,0,0,1,1,5,11,6,13,11,17,13,19,30,39,38,41,30,5,5,1,2,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,31001
CARVALHOPOLIS,0,0,1,0,1,1,2,2,4,3,1,9,11,8,10,7,7,5,13,10,12,11,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,31001
POCO FUNDO,0,1,3,0,2,2,4,6,15,21,24,18,24,33,58,74,99,103,95,95,97,85,38,28,37,27,12,5,6,3,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1020,31001
ALTEROSA,0,1,0,2,25,30,33,36,59,41,95,112,175,139,119,76,44,45,41,33,34,23,13,25,14,13,17,24,2,2,0,0,0,1,0,1,0,0,0,0,4,1,1,0,1281,31001
ALFENAS,0,32,35,56,77,118,156,263,523,592,956,1148,1551,1185,1489,1678,1294,1488,1293,1124,708,634,437,391,225,77,78,65,35,22,26,20,11,2,9,13,9,10,10,6,5,7,1,0,17859,31001
PARAGUACU,0,2,1,4,3,1,10,11,26,41,29,21,43,29,46,57,63,63,84,95,116,120,90,59,35,29,20,16,6,3,5,1,0,1,0,3,0,1,2,1,0,0,1,0,1138,31001
BOTELHOS,0,0,2,2,8,11,19,29,47,54,77,101,80,43,108,190,171,179,144,143,113,84,44,27,17,6,13,6,1,1,0,0,0,0,0,0,0,4,6,3,0,0,0,0,1733,31001
CAMPOS GERAIS,0,0,1,8,14,19,35,18,55,89,69,136,96,110,87,64,46,24,29,40,24,20,12,9,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1009,31001
CAMPO DO MEIO,0,0,0,1,2,2,35,9,45,113,103,238,224,86,8,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,31001
MUZAMBINHO,0,12,18,18,17,45,32,38,75,35,57,60,43,65,65,58,65,49,59,49,68,67,27,21,10,7,11,6,3,0,2,2,3,0,1,1,0,1,0,2,0,3,0,0,1095,31002
MONTE BELO,0,75,55,62,75,95,65,19,27,26,12,16,3,4,4,3,4,3,1,2,2,3,2,3,1,1,0,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,571,31002
